State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Arhar/Tur,6154,2602
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Bajra,48855,52375
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Castor seed,71,61
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Cotton(lint),15225,22129
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Groundnut,16368,7734
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Horse-gram,3372,1156
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Jowar,12363,24855
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Maize,30630,92831
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Moong(Green Gram),13872,1147
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Niger seed,310,47
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Onion,3090,14100
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Rapeseed &Mustard,51,7
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Rice,197,316
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Sesamum,2395,937
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Soyabean,5221,3854
Madhya Pradesh,ALIRAJPUR,1998,Kharif     ,Sunflower,36785,13374
Madhya Pradesh,ALIRAJPUR,1998,Rabi       ,Gram,17835,15170
Madhya Pradesh,ALIRAJPUR,1998,Rabi       ,Groundnut,15849,24166
Madhya Pradesh,ALIRAJPUR,1998,Rabi       ,Horse-gram,2098,608
Madhya Pradesh,ALIRAJPUR,1998,Rabi       ,Jowar,152540,120840
Madhya Pradesh,ALIRAJPUR,1998,Rabi       ,Linseed,4667,1667
Madhya Pradesh,ALIRAJPUR,1998,Rabi       ,Maize,10520,24026
Madhya Pradesh,ALIRAJPUR,1998,Rabi       ,Onion,1226,16070
Madhya Pradesh,ALIRAJPUR,1998,Rabi       ,Safflower,4590,3570
Madhya Pradesh,ALIRAJPUR,1998,Rabi       ,Sunflower,41359,16619
Madhya Pradesh,ALIRAJPUR,1998,Rabi       ,Wheat,22207,28030
Madhya Pradesh,ALIRAJPUR,1998,Summer     ,Maize,2252,5016
Madhya Pradesh,ALIRAJPUR,1998,Summer     ,Onion,1032,15017
Madhya Pradesh,ALIRAJPUR,1998,Summer     ,Sunflower,2262,1195
Madhya Pradesh,ALIRAJPUR,1998,WholeYear ,Arecanut,1,7
Madhya Pradesh,ALIRAJPUR,1998,WholeYear ,Coconut ,571,2728
Madhya Pradesh,ALIRAJPUR,1998,WholeYear ,Coriander,43,4
Madhya Pradesh,ALIRAJPUR,1998,WholeYear ,Dry chillies,619,816
Madhya Pradesh,ALIRAJPUR,1998,WholeYear ,Garlic,30,25
Madhya Pradesh,ALIRAJPUR,1998,WholeYear ,Turmeric,305,1872
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Arhar/Tur,5126,3589
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Bajra,41122,29929
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Castor seed,48,37
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Cotton(lint),11979,18434
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Groundnut,13284,7326
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Horse-gram,2555,607
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Jowar,11598,21354
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Maize,30462,101371
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Mesta,9,17
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Moong(Green Gram),18730,6423
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Niger seed,347,53
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Other Kharif pulses,21091,3696
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Rice,128,202
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Sesamum,1354,607
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Small millets,540,190
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Soyabean,5098,4262
Madhya Pradesh,ALIRAJPUR,1999,Kharif     ,Sunflower,26250,14837
Madhya Pradesh,ALIRAJPUR,1999,Rabi       ,Gram,18807,12599
Madhya Pradesh,ALIRAJPUR,1999,Rabi       ,Groundnut,15530,20537
Madhya Pradesh,ALIRAJPUR,1999,Rabi       ,Horse-gram,3584,538
Madhya Pradesh,ALIRAJPUR,1999,Rabi       ,Jowar,160974,147679
Madhya Pradesh,ALIRAJPUR,1999,Rabi       ,Linseed,5667,1647
Madhya Pradesh,ALIRAJPUR,1999,Rabi       ,Maize,15401,41391
Madhya Pradesh,ALIRAJPUR,1999,Rabi       ,Other  Rabi pulses,1598,202
Madhya Pradesh,ALIRAJPUR,1999,Rabi       ,Rapeseed &Mustard,74,11
Madhya Pradesh,ALIRAJPUR,1999,Rabi       ,Safflower,3926,2828
Madhya Pradesh,ALIRAJPUR,1999,Rabi       ,Sunflower,24177,15169
Madhya Pradesh,ALIRAJPUR,1999,Rabi       ,Wheat,21584,29875
Madhya Pradesh,ALIRAJPUR,1999,Summer     ,Maize,416,760
Madhya Pradesh,ALIRAJPUR,1999,Summer     ,Sunflower,1527,1065
Madhya Pradesh,ALIRAJPUR,1999,WholeYear ,Banana,954,23628
Madhya Pradesh,ALIRAJPUR,1999,WholeYear ,Coconut ,1283,6130
Madhya Pradesh,ALIRAJPUR,1999,WholeYear ,Coriander,31,3
Madhya Pradesh,ALIRAJPUR,1999,WholeYear ,Dry chillies,579,595
Madhya Pradesh,ALIRAJPUR,1999,WholeYear ,Garlic,30,25
Madhya Pradesh,ALIRAJPUR,1999,WholeYear ,Onion,3614,52778
Madhya Pradesh,ALIRAJPUR,1999,WholeYear ,Sugarcane,53888,6143232
Madhya Pradesh,ALIRAJPUR,1999,WholeYear ,Sweet potato,51,162
Madhya Pradesh,ALIRAJPUR,1999,WholeYear ,Turmeric,310,1684
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Arhar/Tur,4984,3693
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Bajra,41232,41300
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Castor seed,52,67
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Cotton(lint),15767,23002
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Groundnut,14487,9664
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Horse-gram,2359,2902
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Jowar,11375,22359
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Maize,31263,99110
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Mesta,9,17
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Moong(Green Gram),23658,10069
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Niger seed,435,66
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Other Kharif pulses,2961,1001
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Rice,171,311
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Sesamum,1981,969
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Small millets,1142,723
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Soyabean,4743,4749
Madhya Pradesh,ALIRAJPUR,2000,Kharif     ,Sunflower,25378,16262
Madhya Pradesh,ALIRAJPUR,2000,Rabi       ,Gram,16454,9834
Madhya Pradesh,ALIRAJPUR,2000,Rabi       ,Groundnut,11875,17305
Madhya Pradesh,ALIRAJPUR,2000,Rabi       ,Horse-gram,1530,490
Madhya Pradesh,ALIRAJPUR,2000,Rabi       ,Jowar,132473,94603
Madhya Pradesh,ALIRAJPUR,2000,Rabi       ,Linseed,4647,1377
Madhya Pradesh,ALIRAJPUR,2000,Rabi       ,Maize,17492,47659
Madhya Pradesh,ALIRAJPUR,2000,Rabi       ,Other  Rabi pulses,677,90
Madhya Pradesh,ALIRAJPUR,2000,Rabi       ,Rapeseed &Mustard,74,11
Madhya Pradesh,ALIRAJPUR,2000,Rabi       ,Safflower,3296,3023
Madhya Pradesh,ALIRAJPUR,2000,Rabi       ,Sunflower,36375,20518
Madhya Pradesh,ALIRAJPUR,2000,Rabi       ,Wheat,23969,37181
Madhya Pradesh,ALIRAJPUR,2000,Summer     ,Maize,3129,8799
Madhya Pradesh,ALIRAJPUR,2000,Summer     ,Sunflower,2901,2163
